technology,nominal_depth,error_rate,min_freq,p_threshold,seed,kind,sites,callable_sites,raw_joint_cov5,true_differences,true_diff_callable,recovered_differences,masked_differences,uncallable_differences,false_differences,same_callable,popani,true_ani_callable
illumina_HS25,1000,0.001,0.01,0.05,29,different,18000,18000,18000,180,180,180,0,0,0,17820,99.0,99.0
illumina_HS25,1000,0.001,0.01,0.05,0,identical_A,18000,18000,18000,0,0,0,0,0,0,18000,100.0,100.0
illumina_HS25,1000,0.001,0.01,0.05,0,identical_B,18000,18000,18000,0,0,0,0,0,0,18000,100.0,100.0
illumina_HS25,1000,0.001,0.01,1e-06,11,different,18000,18000,18000,180,180,180,0,0,0,17820,99.0,99.0
illumina_HS25,1000,0.001,0.01,1e-06,29,different,18000,18000,18000,180,180,180,0,0,0,17820,99.0,99.0
illumina_HS25,1000,0.001,0.01,1e-06,0,identical_A,18000,18000,18000,0,0,0,0,0,0,18000,100.0,100.0
illumina_HS25,1000,0.001,0.01,1e-06,0,identical_B,18000,18000,18000,0,0,0,0,0,0,18000,100.0,100.0
ont_Q20,10,0.001,0.0,0.05,11,different,18000,16367,16367,180,166,163,3,14,0,16201,99.0040936029816,98.98576403739231
ont_Q20,10,0.001,0.0,0.05,29,different,18000,16619,16619,180,167,162,5,13,0,16452,99.02521210662496,98.99512606053312
ont_Q20,10,0.001,0.0,0.05,0,identical_A,18000,16465,16465,0,0,0,0,0,0,16465,100.0,100.0
ont_Q20,10,0.001,0.0,0.05,0,identical_B,18000,16452,16452,0,0,0,0,0,0,16452,100.0,100.0
ont_Q20,10,0.001,0.0,1e-06,11,different,18000,16349,16367,180,166,166,0,14,0,16183,98.9846473790446,98.9846473790446
ont_Q20,10,0.001,0.0,1e-06,29,different,18000,16612,16619,180,167,167,0,13,0,16445,98.99470262460872,98.99470262460872
ont_Q20,10,0.001,0.0,1e-06,0,identical_A,18000,16449,16465,0,0,0,0,0,0,16449,100.0,100.0
ont_Q20,10,0.001,0.0,1e-06,0,identical_B,18000,16441,16452,0,0,0,0,0,0,16441,100.0,100.0
ont_Q20,10,0.001,0.01,0.05,11,different,18000,16367,16367,180,166,163,3,14,0,16201,99.0040936029816,98.98576403739231
ont_Q20,10,0.001,0.01,0.05,29,different,18000,16619,16619,180,167,162,5,13,0,16452,99.02521210662496,98.99512606053312
ont_Q20,10,0.001,0.01,0.05,0,identical_A,18000,16465,16465,0,0,0,0,0,0,16465,100.0,100.0
ont_Q20,10,0.001,0.01,0.05,0,identical_B,18000,16452,16452,0,0,0,0,0,0,16452,100.0,100.0
ont_Q20,10,0.001,0.01,1e-06,11,different,18000,16349,16367,180,166,166,0,14,0,16183,98.9846473790446,98.9846473790446
ont_Q20,10,0.001,0.01,1e-06,29,different,18000,16612,16619,180,167,167,0,13,0,16445,98.99470262460872,98.99470262460872
ont_Q20,10,0.001,0.01,1e-06,0,identical_A,18000,16449,16465,0,0,0,0,0,0,16449,100.0,100.0
ont_Q20,10,0.001,0.01,1e-06,0,identical_B,18000,16441,16452,0,0,0,0,0,0,16441,100.0,100.0
ont_Q20,30,0.001,0.0,0.05,11,different,18000,18000,18000,180,180,169,11,0,0,17820,99.06111111111112,99.0
ont_Q20,30,0.001,0.0,0.05,29,different,18000,18000,18000,180,180,170,10,0,0,17820,99.05555555555556,99.0
ont_Q20,30,0.001,0.0,0.05,0,identical_A,18000,18000,18000,0,0,0,0,0,0,18000,100.0,100.0
ont_Q20,30,0.001,0.0,0.05,0,identical_B,18000,18000,18000,0,0,0,0,0,0,18000,100.0,100.0
ont_Q20,30,0.001,0.0,1e-06,11,different,18000,18000,18000,180,180,180,0,0,0,17820,99.0,99.0
ont_Q20,30,0.001,0.0,1e-06,29,different,18000,18000,18000,180,180,180,0,0,0,17820,99.0,99.0
ont_Q20,30,0.001,0.0,1e-06,0,identical_A,18000,18000,18000,0,0,0,0,0,0,18000,100.0,100.0
ont_Q20,30,0.001,0.0,1e-06,0,identical_B,18000,18000,18000,0,0,0,0,0,0,18000,100.0,100.0
ont_Q20,30,0.001,0.01,0.05,11,different,18000,18000,18000,180,180,169,11,0,0,17820,99.06111111111112,99.0
ont_Q20,30,0.001,0.01,0.05,29,different,18000,18000,18000,180,180,170,10,0,0,17820,99.05555555555556,99.0
ont_Q20,30,0.001,0.01,0.05,0,identical_A,18000,18000,18000,0,0,0,0,0,0,18000,100.0,100.0
ont_Q20,30,0.001,0.01,0.05,0,identical_B,18000,18000,18000,0,0,0,0,0,0,18000,100.0,100.0
ont_Q20,30,0.001,0.01,1e-06,11,different,18000,18000,18000,180,180,180,0,0,0,17820,99.0,99.0
ont_Q20,30,0.001,0.01,1e-06,29,different,18000,18000,18000,180,180,180,0,0,0,17820,99.0,99.0
ont_Q20,30,0.001,0.01,1e-06,0,identical_A,18000,18000,18000,0,0,0,0,0,0,18000,100.0,100.0
ont_Q20,30,0.001,0.01,1e-06,0,identical_B,18000,18000,18000,0,0,0,0,0,0,18000,100.0,100.0
ont_Q20,100,0.001,0.0,0.05,11,different,18000,18000,18000,180,180,150,30,0,0,17820,99.16666666666669,99.0
ont_Q20,100,0.001,0.0,0.05,29,different,18000,18000,18000,180,180,149,31,0,0,17820,99.17222222222222,99.0
ont_Q20,100,0.001,0.0,0.05,0,identical_A,18000,18000,18000,0,0,0,0,0,0,18000,100.0,100.0
ont_Q20,100,0.001,0.0,0.05,0,identical_B,18000,18000,18000,0,0,0,0,0,0,18000,100.0,100.0
ont_Q20,100,0.001,0.0,1e-06,11,different,18000,18000,18000,180,180,180,0,0,0,17820,99.0,99.0
ont_Q20,100,0.001,0.0,1e-06,29,different,18000,18000,18000,180,180,180,0,0,0,17820,99.0,99.0
ont_Q20,100,0.001,0.0,1e-06,0,identical_A,18000,18000,18000,0,0,0,0,0,0,18000,100.0,100.0
ont_Q20,100,0.001,0.0,1e-06,0,identical_B,18000,18000,18000,0,0,0,0,0,0,18000,100.0,100.0
ont_Q20,100,0.001,0.01,0.05,11,different,18000,18000,18000,180,180,153,27,0,0,17820,99.15,99.0
ont_Q20,100,0.001,0.01,0.05,29,different,18000,18000,18000,180,180,159,21,0,0,17820,99.11666666666666,99.0
ont_Q20,100,0.001,0.01,0.05,0,identical_A,18000,18000,18000,0,0,0,0,0,0,18000,100.0,100.0
ont_Q20,100,0.001,0.01,0.05,0,identical_B,18000,18000,18000,0,0,0,0,0,0,18000,100.0,100.0
ont_Q20,100,0.001,0.01,1e-06,11,different,18000,18000,18000,180,180,180,0,0,0,17820,99.0,99.0
ont_Q20,100,0.001,0.01,1e-06,29,different,18000,18000,18000,180,180,180,0,0,0,17820,99.0,99.0
ont_Q20,100,0.001,0.01,1e-06,0,identical_A,18000,18000,18000,0,0,0,0,0,0,18000,100.0,100.0
ont_Q20,100,0.001,0.01,1e-06,0,identical_B,18000,18000,18000,0,0,0,0,0,0,18000,100.0,100.0
ont_Q20,300,0.001,0.0,0.05,11,different,18000,18000,18000,180,180,149,31,0,0,17820,99.17222222222222,99.0
ont_Q20,300,0.001,0.0,0.05,29,different,18000,18000,18000,180,180,155,25,0,0,17820,99.13888888888889,99.0
ont_Q20,300,0.001,0.0,0.05,0,identical_A,18000,18000,18000,0,0,0,0,0,0,18000,100.0,100.0
ont_Q20,300,0.001,0.0,0.05,0,identical_B,18000,18000,18000,0,0,0,0,0,0,18000,100.0,100.0
ont_Q20,300,0.001,0.0,1e-06,11,different,18000,18000,18000,180,180,180,0,0,0,17820,99.0,99.0
ont_Q20,300,0.001,0.0,1e-06,29,different,18000,18000,18000,180,180,179,1,0,0,17820,99.00555555555556,99.0
ont_Q20,300,0.001,0.0,1e-06,0,identical_A,18000,18000,18000,0,0,0,0,0,0,18000,100.0,100.0
ont_Q20,300,0.001,0.0,1e-06,0,identical_B,18000,18000,18000,0,0,0,0,0,0,18000,100.0,100.0
ont_Q20,300,0.001,0.01,0.05,11,different,18000,18000,18000,180,180,174,6,0,0,17820,99.03333333333332,99.0
ont_Q20,300,0.001,0.01,0.05,29,different,18000,18000,18000,180,180,174,6,0,0,17820,99.03333333333332,99.0
ont_Q20,300,0.001,0.01,0.05,0,identical_A,18000,18000,18000,0,0,0,0,0,0,18000,100.0,100.0
ont_Q20,300,0.001,0.01,0.05,0,identical_B,18000,18000,18000,0,0,0,0,0,0,18000,100.0,100.0
ont_Q20,300,0.001,0.01,1e-06,11,different,18000,18000,18000,180,180,180,0,0,0,17820,99.0,99.0
ont_Q20,300,0.001,0.01,1e-06,29,different,18000,18000,18000,180,180,179,1,0,0,17820,99.00555555555556,99.0
ont_Q20,300,0.001,0.01,1e-06,0,identical_A,18000,18000,18000,0,0,0,0,0,0,18000,100.0,100.0
ont_Q20,300,0.001,0.01,1e-06,0,identical_B,18000,18000,18000,0,0,0,0,0,0,18000,100.0,100.0
